국가,관광인원,관광전년동기,관광증감율,상용인원,상용전년동기,상용증감율,공용인원,공용전년동기,공용증감율,유학연수인원,유학연수전년동기,유학연수증감율,기타인원,기타전년동기,기타증감율,전체인원,전체전년동기,전체증감율,대륙,기준년월,관광비율
핀란드,296,27,996.2962962962964,10,4,150.0,0,1,-100.0,24,17,41.17647058823529,319,219,45.662100456621005,649,268,142.1641791044776,유럽,2023-01,0.4560862865947612
벨기에,363,39,830.7692307692308,20,13,53.84615384615385,2,3,-33.33333333333333,37,5,640.0,192,145,32.41379310344827,614,205,199.5121951219512,유럽,2023-01,0.5912052117263844
크로아티아,90,80,12.5,3,2,50.0,0,0,0.0,2,2,0.0,75,73,2.73972602739726,170,157,8.280254777070063,유럽,2023-01,0.5294117647058824
그리스,310,188,64.8936170212766,15,13,15.384615384615385,2,2,0.0,2,1,100.0,156,182,-14.285714285714285,485,386,25.647668393782386,유럽,2023-01,0.6391752577319587
불가리아,99,39,153.84615384615387,1,0,,1,2,-50.0,9,11,-18.181818181818183,52,165,-68.48484848484848,162,217,-25.34562211981567,유럽,2023-01,0.6111111111111112
덴마크,361,46,684.7826086956521,24,7,242.85714285714283,5,5,0.0,28,12,133.33333333333331,88,73,20.54794520547945,506,143,253.84615384615384,유럽,2023-01,0.7134387351778656
아일랜드,323,15,2053.3333333333335,9,2,350.0,2,3,-33.33333333333333,13,6,116.66666666666667,142,86,65.11627906976744,489,112,336.60714285714283,유럽,2023-01,0.6605316973415133
유럽기타,878,145,505.51724137931035,26,4,550.0,12,7,71.42857142857143,87,64,35.9375,654,490,33.46938775510204,1657,710,133.38028169014083,유럽,2023-01,0.5298732649366324
호주,11087,175,6235.428571428572,97,41,136.58536585365854,23,8,187.5,27,2,1250.0,1383,385,259.22077922077926,12617,611,1964.9754500818333,오세아니아,2023-01,0.8787350400253626
뉴질랜드,1948,30,6393.333333333333,20,5,300.0,6,2,200.0,1,0,,609,156,290.38461538461536,2584,193,1238.8601036269429,오세아니아,2023-01,0.7538699690402477
오세아니아기타,27,0,,0,0,0.0,5,2,150.0,4,4,0.0,10,17,-41.17647058823529,46,23,100.0,오세아니아,2023-01,0.5869565217391305
남아프리카공화국,269,0,,5,3,66.66666666666666,3,1,200.0,3,1,200.0,515,99,420.20202020202026,795,104,664.4230769230769,아프리카,2023-01,0.3383647798742138
아프리카기타,402,43,834.8837209302326,239,146,63.6986301369863,61,38,60.526315789473685,202,106,90.56603773584906,1052,611,72.17675941080196,1956,944,107.20338983050848,아프리카,2023-01,0.20552147239263804
