"자치구 기준일","종로구 전체","종로구 추가","중구 전체","중구 추가","용산구 전체","용산구 추가","성동구 전체","성동구 추가","광진구 전체","광진구 추가","동대문구 전체","동대문구 추가","중랑구 전체","중랑구 추가","성북구 전체","성북구 추가","강북구 전체","강북구 추가","도봉구 전체","도봉구 추가","노원구 전체","노원구 추가","은평구 전체","은평구 추가","서대문구 전체","서대문구 추가","마포구 전체","마포구 추가","양천구 전체","양천구 추가","강서구 전체","강서구 추가","구로구 전체","구로구 추가","금천구 전체","금천구 추가","영등포구 전체","영등포구 추가","동작구 전체","동작구 추가","관악구 전체","관악구 추가","서초구 전체","서초구 추가","강남구 전체","강남구 추가","송파구 전체","송파구 추가","강동구 전체","강동구 추가","기타 전체","기타 추가"
"2023.02.14.00","78856","40","70876","27","121451","56","168204","69","203511","112","196277","101","216141","111","250362","119","158987","56","172460","74","298703","97","267082","131","179230","89","219189","113","256722","109","339170","174","236243","93","133747","63","238044","113","232070","90","292073","143","231964","89","300007","120","385621","177","269848","131","380647","206"
"2023.02.13.00","78813","9","70850","9","121395","7","168131","18","203400","24","196177","18","216030","18","250244","29","158927","20","172395","16","298605","45","266949","58","179141","28","219075","27","256612","26","338997","44","236148","17","133684","12","237937","23","231979","18","291930","38","231875","40","299884","45","385444","43","269716","37","380444","77"
"2023.02.12.00","78804","28","70841","22","121388","38","168113","51","203376","59","196159","80","216012","82","250215","90","158907","51","172379","54","298560","115","266891","83","179113","65","219048","82","256586","71","338953","139","236131","63","133672","41","237914","82","231961","84","291892","106","231835","79","299839","134","385401","137","269679","130","380367","160"
"2023.02.11.00","78779","34","70820","17","121350","51","168066","60","203318","79","196079","92","215930","105","250126","86","158856","75","172325","48","298451","107","266811","82","179049","70","218968","88","256516","115","338815","140","236070","68","133631","56","237843","81","231878","103","291786","108","231757","79","299708","118","385265","142","269550","94","380207","194"
"2023.02.10.00","78745","30","70803","27","121299","40","168006","53","203239","85","195987","81","215825","76","250040","109","158781","63","172277","50","298344","126","266729","112","178979","70","218880","85","256401","72","338675","152","236002","77","133575","76","237762","102","231775","82","291678","120","231678","78","299590","118","385123","153","269456","105","380013","228"
"2023.02.09.00","78715","50","70776","27","121259","39","167953","75","203154","92","195906","71","215749","94","249929","101","158714","71","172249","61","298216","114","266616","117","178908","67","218795","95","256329","95","338523","160","235924","92","133499","47","237660","87","231693","108","291558","114","231600","75","299472","113","384969","176","269351","84","379775","235"
"2023.02.08.00","78665","36","70749","28","121220","60","167878","88","203062","95","195835","89","215655","109","249828","119","158643","78","172188","90","298102","135","266499","132","178841","71","218700","116","256234","102","338363","166","235832","91","133452","68","237573","96","231585","145","291444","171","231525","106","299359","148","384793","180","269267","141","379540","244"
"2023.02.07.00","78629","41","70721","41","121160","70","167790","73","202967","101","195746","119","215546","117","249709","117","158565","94","172098","61","297967","131","266367","149","178770","101","218584","117","256132","102","338197","197","235741","129","133384","74","237477","136","231440","100","291273","152","231419","83","299211","114","384613","254","269126","131","379296","242"
"2023.02.06.00","78588","11","70680","11","121090","17","167717","14","202866","28","195627","34","215429","33","249592","24","158471","11","172037","9","297836","48","266218","55","178669","16","218467","31","256030","33","338000","87","235612","30","133310","12","237341","32","231340","23","291121","31","231336","34","299097","60","384359","47","268995","28","379054","56"
"2023.02.05.00","78577","42","70669","24","121073","30","167703","72","202838","80","195593","82","215396","93","249568","70","158460","58","172028","37","297788","136","266163","119","178653","65","218436","72","255997","81","337913","170","235582","83","133298","52","237309","86","231317","85","291090","113","231302","93","299037","134","384312","166","268967","107","378998","149"
"2023.02.04.00","78535","27","70645","32","121043","42","167631","77","202758","71","195511","78","215303","96","249498","110","158402","68","171991","63","297652","96","266044","109","178588","78","218364","91","255916","85","337743","147","235499","102","133246","61","237223","112","231232","93","290977","102","231209","115","298903","117","384146","172","268860","75","378849","221"
"2023.02.03.00","78508","36","70613","36","121001","39","167556","61","202687","86","195434","101","215207","98","249389","82","158334","77","171928","62","297556","124","265935","145","178510","74","218273","76","255832","112","337597","148","235397","106","133186","61","237111","107","231139","94","290875","115","231094","82","298786","110","383974","163","268785","111","378633","245"
"2023.02.02.00","78472","27","70577","50","120962","48","167495","87","202601","97","195333","111","215109","70","249307","109","158257","94","171866","70","297432","134","265790","136","178436","77","218197","97","255720","106","337449","176","235291","110","133125","68","237004","103","231045","126","290760","128","231012","106","298676","145","383811","192","268674","146","378388","271"
"2023.02.01.00","78445","40","70527","41","120914","65","167408","85","202504","115","195222","119","215039","125","249198","110","158163","70","171796","92","297298","167","265654","124","178359","86","218100","128","255614","133","337273","195","235181","129","133057","107","236901","133","230919","115","290632","173","230906","125","298531","138","383619","204","268528","122","378117","335"
"2023.01.31.00","78405","52","70486","39","120849","66","167323","83","202389","115","195103","133","214914","158","249088","141","158093","78","171704","91","297131","164","265530","207","178273","126","217972","170","255481","125","337078","232","235052","148","132950","73","236768","146","230804","163","290459","195","230781","104","298393","147","383415","273","268406","160","377782","307"
"2023.01.30.00","78353","9","70447","7","120783","12","167240","16","202274","21","194970","36","214756","24","248947","36","158015","33","171613","27","296967","31","265323","24","178147","18","217802","54","255356","31","336846","75","234904","21","132877","26","236622","37","230641","43","290264","47","230677","58","298246","60","383142","66","268246","48","377475","62"
"2023.01.29.00","78344","39","70440","26","120771","36","167224","90","202253","113","194934","100","214732","93","248911","119","157982","86","171586","78","296936","132","265299","186","178129","82","217748","117","255325","123","336771","188","234883","108","132851","66","236585","100","230598","101","290217","154","230619","146","298186","140","383076","201","268198","122","377413","178"
