자치구,발생합계,검거합계,살인,강도,강간,절도,폭력,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율
종로구,0.19878674755016335,0.47083467611988405,0.4545454545454545,0.125,0.16600790513833993,0.19187500000000007,0.2119236143455986,0.0,0.6923076923076923,0.9999999999999999,0.9891122115005442,0.4468395177829798
중구,0.23355109659356044,0.250725104737351,0.4545454545454545,0.20833333333333334,0.17588932806324112,0.3168750000000001,0.1849091755938519,0.5,0.6923076923076923,0.018534852915846556,0.5102074384385733,0.5957191328013209
용산구,0.12155856276248245,0.11762810183693206,0.1818181818181818,0.0,0.13636363636363638,0.10812500000000008,0.12994876571960878,0.16666666666666663,0.6923076923076923,0.048096486936510335,0.22657029503634307,0.25913707027658894
성동구,0.058796080261315886,0.06961005478569127,0.1818181818181818,0.125,0.07509881422924902,0.08312500000000006,0.03632976245924546,0.8333333333333333,0.0,0.051550738810188124,0.3864940350777326,0.4371175839552155
광진구,0.28628091460569294,0.2926200451176282,0.36363636363636365,0.125,0.26877470355731226,0.40125000000000005,0.20680018630647423,0.09999999999999998,0.6923076923076923,0.05815158393368203,0.3176343770185519,0.6819708513949747
동대문구,0.2564162389174055,0.26393812439574604,0.1818181818181818,0.24999999999999997,0.19169960474308298,0.29250000000000004,0.2459245458779693,0.8333333333333333,0.8241758241758241,0.08027085911226836,0.30990906333136126,0.36566221742545935
중랑구,0.31497900139990664,0.35804060586529174,0.2727272727272727,0.20833333333333334,0.13636363636363638,0.39187500000000003,0.30181648812296236,0.5,0.8461538461538463,0.0710255726497162,0.592584308391503,0.595499707707396
성북구,0.12855809612692481,0.15887850467289721,0.2727272727272727,0.041666666666666664,0.09090909090909091,0.07687500000000008,0.17699115044247793,0.25,0.6923076923076923,0.05162190326287494,0.3019449612620435,0.6597524926870255
강북구,0.1028931404573028,0.19916210119239453,0.2727272727272727,0.0,0.1264822134387352,0.0031250000000000444,0.1727992547741034,0.5,0.6923076923076923,0.07467447652109299,1.0,0.9164529251498514
도봉구,0.0,0.0,0.09090909090909091,0.041666666666666664,0.0,0.0,0.0,0.5,0.23076923076923078,0.08467383795519587,0.11798920608286556,0.36566221742545935
노원구,0.36514232384507694,0.324846922333226,0.4545454545454545,0.08333333333333334,0.16600790513833993,0.368125,0.4131346064275734,0.5,0.6923076923076923,0.06592322115859073,0.08981987386981105,0.0
은평구,0.322911805879608,0.3638414437640993,0.2727272727272727,0.08333333333333334,0.1857707509881423,0.40750000000000003,0.29576152771308806,0.75,0.6923076923076923,0.06442507422366855,0.5169445398433048,0.7276464452569886
서대문구,0.09752683154456365,0.09668063164679341,0.1818181818181818,0.041666666666666664,0.12845849802371542,0.159375,0.04517931998136937,0.5,0.6923076923076923,0.08167719693045994,0.3780818703289377,0.17481669090961383
마포구,0.3919738684087727,0.3496616177892362,0.2727272727272727,0.125,0.4920948616600791,0.46125,0.320912901723335,0.25,0.6923076923076923,0.07723999774955703,0.10241724648367256,0.057197704075645284
양천구,0.26948203453103126,0.2549145987753787,0.0,0.08333333333333334,0.08695652173913043,0.36062500000000003,0.2487191429902189,0.5,0.6923076923076923,0.06255423556355641,0.2556730549322541,0.30652133669620696
강서구,0.4750349976668222,0.5639703512729617,0.7272727272727273,0.08333333333333334,0.3438735177865613,0.48000000000000004,0.5058220773171869,0.2777777777777779,0.6923076923076923,0.055885984696223134,0.5977580070815187,1.0
구로구,0.3793747083527764,0.36641959394134715,0.36363636363636365,0.041666666666666664,0.21739130434782608,0.38625000000000004,0.41686073591057293,0.5,0.23076923076923078,0.02912689797126783,0.4071774068066243,0.07651026208725487
금천구,0.1350909939337377,0.14405414115372217,0.5454545454545454,0.08333333333333334,0.12252964426877469,0.15062500000000006,0.12575687005123426,0.3571428571428571,0.9999999999999998,0.05690878480389916,0.2315727908289631,0.5590764340856804
영등포구,0.5410639290713952,0.4779245891073155,0.6363636363636364,0.41666666666666663,0.40909090909090906,0.5875000000000001,0.5388914764788076,0.5,0.6923076923076923,0.04163337291443156,0.11086028744014431,0.010997026118893416
동작구,0.17988800746616895,0.1724137931034483,0.09090909090909091,0.0,0.21343873517786563,0.22312500000000007,0.1429902189101071,1.0,0.6923076923076923,0.0,0.5969898818304511,0.032046552796494154
관악구,0.6028931404573028,0.5929745407669996,0.6363636363636364,0.24999999999999997,0.4920948616600791,0.6800000000000002,0.5756870051234281,0.0,0.5604395604395604,0.07292357440434738,0.17165043400899993,0.4968854583130513
서초구,0.4190387307512833,0.368997744118595,0.7272727272727273,0.16666666666666666,0.47430830039525695,0.4568750000000001,0.37959944108057764,0.5,0.6923076923076923,0.04815947893022793,0.0,0.2281935488420581
강남구,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,0.41666666666666663,0.6184615384615386,0.06079079044555166,0.1265993630744502,0.6082259083021588
송파구,0.6658889407372841,0.6355140186915887,0.1818181818181818,0.24999999999999997,0.3458498023715415,0.7825000000000002,0.6618537494177924,0.5,0.5604395604395604,0.08134962888322156,0.137672435591484,0.3658941918755554
강동구,0.37284181054596355,0.37640992587818245,0.1818181818181818,0.20833333333333334,0.10276679841897232,0.5250000000000001,0.3265020959478342,0.5,0.6923076923076923,0.07122369262995704,0.39651062235745593,0.46483474805122693
